date,number
2022-01-27,2723
2021-12-29,1460
2022-01-22,3411
2022-01-06,1527
2022-04-21,3978
2022-10-23,3443
2021-12-23,1641
2022-05-31,1633
2021-12-29,1072
2021-12-30,2936
2022-05-04,2494
2022-06-22,2019
2022-04-23,3804
2022-08-04,1619
2022-01-26,1306
2022-09-23,3918
2022-05-27,3209
2022-09-20,2333
2022-07-05,1861
2022-07-18,3404
2022-06-26,3142
2022-12-14,3738
2022-06-22,3791
2022-05-14,3071
2022-03-21,1112
2022-09-26,2990
2022-01-24,2977
2022-02-20,1017
2022-08-02,3160
2022-08-03,1221
2022-07-14,3799
2022-05-27,2562
2022-05-16,2461
2022-08-05,1149
2022-05-30,2531
2022-05-21,1535
2022-06-13,2549
2022-06-20,3690
2022-04-14,2840
2022-07-27,3519
2022-11-19,1626
2022-06-04,1210
2022-03-26,2555
2022-10-30,3881
2022-10-13,3001
2022-01-27,3745
2022-11-17,2660
2022-04-30,2034
2022-03-13,2753
2022-05-20,3379
2022-03-31,2307
2022-11-02,3498
2022-12-11,2049
2022-05-10,1624
2022-10-11,1996
2022-03-12,2091
2022-07-26,1295
2021-12-19,3524
2022-04-09,3071
2022-03-08,2554
2022-06-14,3207
2022-11-12,1838
2022-09-15,1807
2022-12-05,1395
2022-10-02,3074
2022-02-27,1141
2022-10-19,2129
2022-03-21,1318
2022-01-29,1992
2022-09-18,2609
2022-08-02,1195
2022-07-03,1796
2022-10-10,3373
2022-10-29,2895
2022-09-23,3797
2022-04-03,3312
2022-05-03,1657
2022-09-21,2859
2022-09-11,2643
2022-08-27,1232
2022-11-03,2191
2022-11-28,2449
2022-02-25,1202
2022-07-11,2144
2022-10-19,3685
2022-05-21,3846
2022-12-17,3167
2021-12-28,1170
2022-02-20,3783
2021-12-24,2767
2022-05-21,3426
2022-03-22,1507
2022-11-18,1190
2022-09-19,3476
2022-11-02,3934
2022-09-07,1664
2022-10-05,3140
2022-11-15,3134
2022-11-14,3680
2022-05-11,1317
2022-04-17,1836
2022-12-02,2841
2022-01-07,1151
2022-09-12,2656
2022-03-16,1915
2022-03-12,3957
2022-10-03,3808
2022-05-08,3440
2022-11-16,1616
2022-09-13,2434
2022-12-15,2407
2022-02-17,3033
2022-12-06,3286
2022-10-30,1565
2022-07-31,3466
2022-02-19,2167
2022-04-13,2710
2022-05-27,1493
2022-07-22,2696
2022-04-25,2513
2021-12-30,3687
2022-09-20,3825
2022-04-26,1452
2022-05-04,1339
2022-04-27,2285
2022-11-23,1691
2022-10-25,3869
2022-11-20,2633
2022-03-03,1521
2022-06-20,2092
2022-07-06,1197
2022-04-09,2538
2022-01-06,1394
2022-03-04,3168
2022-04-25,2525
2022-02-21,2597
2022-10-03,3416
2022-10-03,1413
2022-08-11,1253
2022-08-19,1484
2022-04-29,3490
2022-02-02,1630
2022-02-22,3933
2022-12-08,2495
2022-09-17,2849
2022-04-17,1440
2022-01-06,2700
2022-03-06,3080
2022-05-11,3894
2022-05-21,1405
2022-01-02,1041
2021-12-27,1851
2022-02-20,3334
2022-08-15,3497
2022-06-14,3349
2022-01-16,1712
2022-08-13,1358
2022-06-02,1111
2022-11-16,1747
2022-07-04,3317
2022-10-20,2247
2022-10-26,2158
2022-07-14,1050
2022-09-26,3573
2022-02-16,3551
2022-05-30,2880
2021-12-30,3362
2022-11-16,1193
2022-09-02,3391
2022-06-23,3743
2022-09-27,1776
2022-10-31,3610
2022-10-11,2046
2022-01-25,2946
2022-10-24,3015
2022-11-30,1796
2021-12-22,2717
2022-11-09,1171
2022-08-13,3868
2022-07-20,1152
2022-03-30,3281
2022-11-18,3499
2021-12-28,1095
2022-03-30,3814
2022-08-12,2007
2022-06-07,3988
2022-01-24,2328
2022-11-22,2046
2022-10-18,3199
2022-09-01,2832
2022-11-25,2181
2022-07-20,1540
2022-04-19,1540
2022-09-30,2063
2022-09-26,1650
2022-08-29,1719
2022-03-07,3040
2022-04-21,2015
2022-09-26,2365
2022-09-22,2692
2022-05-24,3023
2022-11-15,3045
2022-08-04,2660
2022-03-04,3074
2022-07-04,1759
2022-11-13,1946
2022-01-06,1032
2022-01-23,2671
2022-05-29,2405
2022-09-26,2428
2022-01-07,1781
2022-08-20,3432
2022-08-01,1494
2022-02-21,3423
2022-01-08,3628
2022-08-11,1438
2022-11-04,3350
2022-07-03,2899
2022-09-17,3004
2022-08-23,3534
2022-08-27,3362
2022-03-17,3226
2022-08-29,3268
2021-12-24,3778
2022-09-15,1739
2021-12-18,1330
2022-07-02,2323
2022-01-04,1035
2022-07-05,3273
2022-01-06,1833
2022-06-13,2338
2022-09-30,3210
2022-08-28,3148
2022-04-09,2971
2022-07-29,2921
2022-05-14,3748
2022-12-15,1164
2022-08-03,3279
2022-05-27,1924
2022-12-17,2683
2022-11-04,1535
2022-01-09,1409
2022-10-23,2778
2022-07-14,3352
2022-05-13,3155
2022-05-29,2068
2022-11-17,2100
2022-04-06,3106
2022-10-23,2408
2022-06-28,1038
2022-03-05,3881
2022-06-16,2774
2022-02-22,1701
2022-09-26,2466
2022-07-08,1197
2022-07-14,3340
2022-09-01,3106
2022-07-03,1701
2022-05-30,2587
2022-12-07,1988
2022-09-07,2828
2022-10-19,2797
2022-05-01,2418
2022-09-17,3920
2022-10-17,3170
2022-12-01,3808
2022-09-02,2619
2022-07-30,1805
2022-05-27,3723
2022-08-04,1668
2022-07-26,2940
2022-03-13,1133
2022-08-07,3535
2022-02-28,1259
2022-05-13,1079
2022-04-18,1196
2022-06-24,1916
2022-01-11,1284
2022-01-15,2571
2022-10-10,3827
2022-12-04,1629
2021-12-23,1576
2022-06-30,3392
2022-10-24,1741
2022-03-21,3505
2022-02-20,3171
2022-06-19,3791
2022-01-16,3220
2022-02-20,3958
2022-04-23,1846
2022-05-07,2784
2022-11-05,1434
2022-06-18,1068
2022-02-23,3740
2022-10-21,2439
2022-02-03,2975
2022-01-12,2285
2022-08-05,1688
2022-03-31,3016
2022-07-26,1511
2022-06-11,2457
2022-03-10,1942
2022-09-08,1971
2022-08-26,2727
2022-04-16,2881
2022-10-18,3622
2021-12-25,1653
2022-11-03,1336
2022-04-08,3320
2022-01-20,2139
2021-12-25,2006
2022-05-25,2073
2022-04-30,2126
2022-04-10,1918
2022-09-17,2176
2022-09-23,3677
2022-03-31,1873
2022-03-20,1705
2022-07-01,3977
2022-08-02,3839
2022-05-23,2798
2022-08-07,2987
2022-06-03,1107
2022-03-29,2327
2022-08-25,2612
2022-10-14,3686
2022-11-25,3904
2022-02-17,1582
2022-08-11,2730
2022-07-03,2147
2022-06-28,1289
2022-05-05,1183
2022-09-08,2907
2022-06-06,3232
2022-02-26,2239
2022-05-17,3364
2022-04-12,1723
2022-01-04,3463
2022-12-15,1528
2022-07-07,1107
2022-11-17,2228
2022-11-02,3137
2022-11-19,2332
2022-02-06,1914
2022-02-09,3072
2022-11-15,3460
2022-02-02,2319
2022-11-19,2429
2022-10-15,2469
2022-09-01,3302
2022-07-18,1868
2022-01-27,3690
2022-03-22,3876
2022-04-20,1293
2022-10-07,2199
2022-07-30,1782
2022-01-22,3537
2022-01-04,1149
2022-08-05,2789
2022-10-31,3380
2022-06-03,2055
2022-11-08,2160
2022-06-18,1792
2022-02-06,1820
2022-07-23,2730
2022-11-18,1394
2022-01-06,1234
2021-12-25,3983
2022-09-06,1732
2022-02-09,2851
2022-08-23,2345
2022-07-28,2242
2022-08-30,2993
2022-12-15,3009
2022-09-05,1999
2022-11-19,2448
2022-03-21,1812
2022-08-04,2719
2022-11-30,1831
2022-02-17,3195
2022-09-04,2865
2022-10-30,1701
2022-07-03,3887
2022-07-02,3325
2022-08-24,1301
2022-11-09,2377
2022-09-11,1209
2022-12-10,3103
2022-01-10,2677
2022-11-14,3890
2022-04-13,3369
2022-08-21,1238
2022-08-07,2260
2022-05-31,2228
2022-07-31,3666
2022-10-14,1764
2022-10-01,2316
2022-05-11,3760
2022-04-26,2288
2022-12-05,3865
2022-10-10,2415
2022-12-02,2924
2022-08-01,2900
2022-10-29,1525
2022-01-16,1395
2022-09-30,1009
2022-11-12,1624
2022-08-10,3473
2022-11-30,2350
2022-05-31,1566
2022-12-02,3751
2022-07-18,2053
2022-05-01,3637
2022-08-13,3044
2022-01-18,2778
2022-06-23,1432
2022-08-13,2904
2022-03-09,2375
2022-11-06,3251
2022-02-18,2163
2022-10-08,3207
2022-04-08,3535
2022-05-06,1912
2022-01-26,3737
2021-12-31,3201
2022-03-14,1388
2022-10-29,3401
2022-08-11,3014
2022-11-13,3193
2022-11-15,2850
2022-07-24,1830
2022-09-14,2245
2022-10-06,2900
2022-01-22,3597
2022-02-11,1927
2022-06-02,2201
2022-10-23,3087
2022-06-22,3585
2022-06-30,1697
2022-11-18,3246
2021-12-23,2254
2022-09-15,2410
2022-02-27,3058
2022-03-18,1778
2022-10-01,2709
2022-11-20,3146
2022-04-01,2004
2022-12-10,1008
2022-04-30,3783
2022-03-21,3678
2022-04-03,3209
2022-04-29,3742
2022-02-23,3335
2022-11-03,3474
2022-03-25,2241
2022-08-09,1927
2022-07-31,3662
2022-08-12,1525
2022-05-28,3263
2022-04-16,3014
2021-12-25,1229
2022-06-23,2419
2022-06-01,3071
2022-10-28,3417
2022-06-01,1032
2022-10-03,3014
2022-11-25,3041
2022-07-16,2073
2022-01-10,2088
2022-10-27,2407
2022-07-24,1852
2022-04-29,1814
2022-11-21,3477
2022-02-22,2852
2022-11-26,1584
2022-07-19,1436
2022-07-01,1705
2022-11-23,2684
2022-08-15,2141
2022-09-29,2670
2022-05-08,2411
2022-10-29,1892
2022-09-25,2512
2022-09-15,1246
2022-02-15,1853
2022-08-29,2908
2021-12-30,1895
2022-02-03,3981
2022-12-09,2883
2022-12-14,1942
2022-06-22,2629
2022-06-11,3468
2022-07-12,3235
2022-08-10,2758
2022-11-18,3948
2022-11-12,1445
2022-06-24,3896
2022-02-04,3121
2022-01-04,3615
2022-11-16,2460
2022-02-09,3397
2022-10-06,1714
2022-01-08,3603
2022-08-13,3535
2022-08-16,2624
2022-10-06,1976
2022-01-04,3489
2022-05-18,2828
2022-03-31,3135
2022-07-20,2844
2022-01-04,3372
2022-12-07,1261
2022-10-07,2407
2022-11-27,3375
2022-06-20,1645
2022-03-06,2981
2022-09-26,3347
2022-02-21,3012
2022-05-20,1880
2022-07-17,2306
2022-05-30,3019
2022-05-11,2439
2022-09-01,1422
2022-07-28,3790
2022-02-09,3369
2022-02-04,2099
2022-04-19,2087
2022-05-20,3919
2022-08-08,2591
2022-12-14,2492
2022-02-27,3701
2022-05-02,1036
2022-10-20,3149
2022-11-04,1038
2022-02-06,3439
2022-02-25,1954
2022-01-30,3328
2022-01-23,3787
2022-07-08,1589
2022-05-08,3632
2022-09-02,2616
2022-03-10,1934
2022-11-12,2249
2022-06-27,2949
2022-07-03,1701
2022-04-06,3345
2022-06-28,2043
2022-06-23,3150
2022-04-21,3646
2022-07-13,1144
2022-05-07,3825
2022-11-07,1782
2022-02-22,2942
2022-05-25,2255
2022-05-05,3966
2022-04-25,2865
2022-07-17,3614
2022-10-28,3733
2022-06-11,1252
2022-04-21,2842
2022-07-16,3903
2022-03-06,1916
2022-04-29,1389
2022-05-01,1842
2022-03-27,3932
2022-03-30,1267
2022-04-23,1749
2022-07-14,3356
2022-03-31,2708
2022-10-08,2216
2022-09-24,2733
2022-11-09,3866
2022-06-10,3755
2022-08-10,1465
2022-04-04,1830
2022-01-17,1722
2022-03-05,1455
2022-02-08,2489
2022-06-29,2196
2022-04-03,1635
2022-10-25,1934
2022-06-30,1717
2022-08-03,3772
2022-11-26,3579
2022-11-15,1358
2022-10-02,3070
2022-02-08,3951
2022-07-31,3247
2022-11-07,1447
2022-11-14,3264
2022-04-24,3403
2022-10-12,3826
2022-12-05,1507
2021-12-31,3310
2022-10-26,2638
2022-04-27,2024
2022-03-03,3970
2022-04-27,3858
2022-01-27,3988
2022-06-03,3643
2022-07-29,1721
2022-01-15,3971
2022-01-12,2494
2022-07-20,3531
2022-04-02,1972
2022-01-28,3379
2022-10-11,3580
2022-03-08,2636
2022-04-03,3099
2022-03-01,2446
2022-10-13,1920
2022-11-08,2697
2022-08-04,2845
2022-06-11,3691
2022-08-01,3214
2022-08-21,2738
2022-03-10,3330
2022-07-30,2010
2022-07-01,2188
2021-12-28,2120
2022-05-19,2558
2022-03-12,2884
2022-02-24,3675
2022-01-19,1719
2022-02-07,1869
2022-12-09,2049
2022-04-13,2898
2022-02-17,1020
2022-05-09,2921
2022-01-28,1603
2022-01-18,3471
2022-07-07,2117
2022-07-19,2043
2022-08-15,3410
2022-05-22,2739
2022-02-17,3308
2022-07-30,1570
2022-06-27,1895
2022-06-08,1908
2022-06-18,1257
2022-09-03,2086
2022-10-03,2505
2022-07-24,3597
2022-04-18,1056
2022-02-13,1212
2022-01-01,1176
2022-02-24,3228
2022-01-29,2275
2022-03-16,1867
2022-07-24,1693
2022-05-22,2016
2022-07-13,3392
2022-06-10,1589
2022-04-03,2821
