Guam,-25,2022-03-25
Guam,39,2022-02-18
Serbia,-35,2022-08-31
French Guiana,-6,2022-04-03
Falkland Islands (Malvinas),-40,2022-05-26
Brazil,15,2022-02-11
Tunisia,-31,2022-09-20
Portugal,7,2022-01-02
Iran,-22,2022-08-14
Australia,-5,2022-01-12
Gambia,21,2022-08-08
Italy,31,2022-08-26
Guadeloupe,-39,2022-07-13
South Africa,-24,2022-05-02
Malawi,-6,2022-06-13
Iran,34,2022-09-28
Norfolk Island,-5,2022-02-21
Lao People's Democratic Republic,25,2022-11-17
Republic of Korea,-18,2022-07-13
Singapore,-15,2022-05-18
Western Sahara,-11,2022-08-07
Venezuela,-13,2022-10-10
Tunisia,40,2021-12-27
Burkina Faso,-27,2022-01-04
British Indian Ocean Territory (Chagos Archipelago),-24,2022-06-04
Eritrea,28,2022-05-24
Afghanistan,26,2022-01-04
United States of America,-32,2022-12-01
Monaco,3,2022-08-28
Tunisia,-9,2022-12-03
Nepal,32,2022-07-28
Nepal,17,2022-06-25
Romania,-13,2022-11-03
Malaysia,28,2022-11-29
Senegal,24,2022-08-06
Philippines,-25,2022-05-22
Armenia,-9,2022-09-15
Armenia,16,2022-05-22
Turkey,-12,2022-07-01
Andorra,-18,2022-06-05
Guernsey,26,2022-02-21
Heard Island and McDonald Islands,-1,2022-05-14
Aruba,-9,2022-01-19
Macedonia,40,2022-03-25
Monaco,31,2022-10-17
Syrian Arab Republic,19,2022-04-13
Northern Mariana Islands,15,2022-03-05
Mayotte,-21,2022-03-26
Dominican Republic,17,2022-10-30
San Marino,1,2022-01-18
Heard Island and McDonald Islands,6,2022-01-06
Pakistan,14,2022-05-26
Turks and Caicos Islands,15,2022-03-24
Singapore,-14,2022-04-08
Romania,-31,2021-12-26
Pakistan,21,2022-10-16
Guinea,29,2022-11-11
Cook Islands,7,2022-06-20
Cote d'Ivoire,-1,2022-08-28
Costa Rica,4,2022-03-09
Uganda,-35,2022-11-28
Vanuatu,2,2022-05-02
Venezuela,-29,2022-05-11
United Arab Emirates,29,2022-07-03
Bulgaria,37,2022-11-23
Germany,15,2022-07-02
Botswana,-13,2022-11-17
Comoros,38,2022-04-20
Ireland,4,2022-03-11
Montenegro,17,2022-10-20
Haiti,19,2022-07-18
Gambia,-13,2022-07-12
Greenland,30,2022-03-21
Saint Lucia,29,2021-12-25
Tanzania,35,2022-07-22
Burkina Faso,27,2022-02-21
Sudan,-26,2022-11-30
Estonia,38,2021-12-14
Chad,-24,2022-10-28
New Caledonia,18,2022-02-16
Benin,7,2022-08-02
Palestinian Territory,-2,2022-09-29
Kenya,-2,2022-12-13
Nepal,-18,2022-08-20
Cambodia,-19,2022-03-05
Kenya,-29,2021-12-23
Nepal,0,2022-04-26
Luxembourg,-15,2022-10-09
Australia,11,2022-03-12
Saint Lucia,-27,2022-03-26
Sierra Leone,23,2022-01-10
Jordan,-9,2022-03-14
Honduras,38,2022-12-09
Iceland,-33,2022-05-06
Guyana,-14,2022-06-27
Saint Pierre and Miquelon,22,2022-07-03
China,13,2022-11-28
South Georgia and the South Sandwich Islands,-33,2022-02-03
Senegal,1,2022-02-13
Dominican Republic,33,2022-06-08
Martinique,-37,2022-08-04
Monaco,20,2022-03-07
Nicaragua,25,2022-03-12
Marshall Islands,20,2022-04-19
Kuwait,-14,2022-03-24
Vanuatu,-18,2022-07-07
Senegal,6,2022-10-03
Finland,7,2022-08-13
Eritrea,28,2022-12-01
Grenada,0,2022-05-14
Turks and Caicos Islands,-12,2022-09-18
Guyana,4,2022-10-23
Bermuda,30,2022-03-13
New Caledonia,-10,2022-03-08
Saint Pierre and Miquelon,10,2022-11-27
Ukraine,30,2022-11-06
China,-25,2022-09-30
Turkey,-13,2022-10-01
Eritrea,9,2022-08-19
Bolivia,30,2022-03-08
Northern Mariana Islands,-7,2022-08-01
Turks and Caicos Islands,38,2022-04-28
Guyana,19,2022-08-06
Sri Lanka,-4,2022-06-05
Namibia,-26,2022-06-17
Saudi Arabia,40,2022-07-12
French Polynesia,-19,2022-11-30
Netherlands,-15,2022-04-10
Canada,-25,2022-05-27
Niger,25,2022-07-25
Libyan Arab Jamahiriya,-15,2022-05-18
Peru,11,2022-07-09
Andorra,27,2022-10-18
Nepal,32,2022-07-16
American Samoa,-20,2022-04-19
Sao Tome and Principe,33,2021-12-26
Guatemala,-10,2022-08-05
Central African Republic,24,2022-05-29
Bahamas,-3,2022-03-27
Venezuela,40,2022-08-14
Croatia,-18,2022-08-10
Italy,-40,2022-03-11
Norfolk Island,25,2022-10-07
Finland,14,2022-09-12
Chad,15,2022-03-22
Guam,-38,2022-03-04
Ecuador,-33,2022-06-21
Cayman Islands,-6,2022-11-15
Namibia,26,2021-12-29
Bulgaria,26,2022-05-06
Mauritius,-10,2022-10-29
Palau,-20,2022-02-06
Saint Kitts and Nevis,-27,2022-05-21
Cuba,-16,2022-10-09
Benin,-19,2022-10-30
Saint Vincent and the Grenadines,19,2022-02-21
French Polynesia,-10,2022-07-06
China,22,2022-04-28
Montenegro,-36,2022-09-04
South Georgia and the South Sandwich Islands,32,2022-08-29
Bahrain,13,2022-11-12
Greenland,-20,2022-05-11
Japan,37,2021-12-18
Mauritania,16,2022-04-25
Montserrat,8,2022-01-02
